Data Storage (GB),Software Licenses,Type of machine,GPU,File import,Export file size (MB),Time period,Cost in pounds
50,Text Analytics,64_256,NV12s v3,No,1000,3,9425.8495
500,Speech Services,8_32,NV12s v3,No,1000,12,29506.3008
750,None,4_16,NV12s v3,Yes,2000,6,44318.9318
250,Text Analytics,16_64,None,Yes,2000,6,16798.1426
1000,Face,32_128,NC12 Promo,No,0,12,58415.4887
1000,None,8_32,NC12 Promo,Yes,100,18,61540.3908
750,Face,8_32,None,Yes,0,24,47868.5144
1000,Text Analytics,4_16,NC12,No,1000,6,59222.2818
100,Speech Services,64_256,None,No,2000,3,11545.1895
50,None,64_256,NV12s v3,No,1000,12,4787.6921
100,Text Analytics,32_128,NV12s v3,No,1000,18,23883.1694
1000,Face,64_256,NC12 Promo,No,1000,18,92639.307
500,None,32_128,None,Yes,1000,24,51828.1392
500,Immersive Reader,64_256,NV12s v3,No,100,3,35178.9395
250,Text Analytics,32_128,NC12 Promo,Yes,2000,12,15506.3787
750,Speech Services,4_16,NV12s v3,No,2000,3,44010.4409
50,None,32_128,NC12 Promo,Yes,2000,18,20871.6594
500,None,32_128,NC12,No,100,3,32872.3449
100,None,4_16,NV12,Yes,1000,6,7936.0818
100,Immersive Reader,32_128,NC12,No,5000,18,24501.6094
250,Speaker,4_16,NV12s v3,No,500,3,15392.9409
50,Text Analytics,16_64,NV12s v3,No,2000,12,3874.5616
100,None,64_256,NV12s v3,No,5000,3,12299.7495
500,Immersive Reader,64_256,None,Yes,5000,3,34454.1895
750,Text Analytics,4_16,NC12 Promo,No,500,12,43594.6604
250,Text Analytics,8_32,NV12,No,2000,3,16528.0018
250,Immersive Reader,64_256,NV12,Yes,2000,6,27513.499
1000,Text Analytics,16_64,NC12 Promo,Yes,1000,18,65244.4178
250,Speech Services,64_256,None,Yes,5000,3,20137.1095
750,Face,32_128,NC12,No,500,18,61685.2794
250,None,8_32,NV12,No,1000,3,16522.0418
50,None,8_32,NC12 Promo,No,500,12,3586.9708
750,Speaker,16_64,NV12,Yes,2000,6,47009.8426
250,Immersive Reader,4_16,NC12 Promo,No,500,6,15538.7918
750,Immersive Reader,4_16,NV12s v3,Yes,0,3,43994.0309
1000,Speech Services,32_128,NC12,Yes,0,6,64385.3798
50,Text Analytics,32_128,None,Yes,0,3,5760.8249
500,Speech Services,4_16,NV12s v3,No,100,6,29991.1118
50,Text Analytics,4_16,NC12 Promo,Yes,100,6,4077.7418
750,Speaker,64_256,NC12,No,0,12,45451.5821
250,Speech Services,8_32,NC12,Yes,100,6,16897.5336
100,Speech Services,4_16,NV12,Yes,2000,3,7633.5509
1000,Immersive Reader,64_256,None,No,100,18,92038.547
250,None,64_256,NV12s v3,No,5000,3,20885.7095
50,None,32_128,NV12s v3,Yes,1000,12,4207.9687
500,Text Analytics,64_256,NC12 Promo,Yes,1000,3,35028.2395
750,Speaker,64_256,NV12,Yes,100,6,56122.629
1000,Face,8_32,NC12 Promo,Yes,1000,3,58470.2718
1000,Face,4_16,NC12 Promo,Yes,5000,3,58173.7009
50,Speaker,16_64,NV12s v3,Yes,1000,12,3882.8916
50,Speaker,16_64,NC12 Promo,No,1000,18,10880.9678
50,Speech Services,64_256,NC12 Promo,Yes,100,6,15056.099
250,Face,4_16,NC12,Yes,5000,12,15750.4004
500,None,64_256,NC12,No,5000,6,41592.699
50,Speaker,16_64,NV12s v3,Yes,100,18,11024.5278
500,Speaker,64_256,None,No,500,36,29418.8181
250,Immersive Reader,64_256,NC12 Promo,Yes,5000,6,26535.029
1000,Face,64_256,NV12,Yes,2000,6,70439.019
250,None,64_256,NV12,No,1000,12,17064.5721
1000,Text Analytics,8_32,NV12,Yes,0,3,59434.2518
100,Speech Services,32_128,NC12,No,5000,18,24494.4694
1000,Face,4_16,NV12s v3,No,2000,12,58074.8604
500,None,64_256,None,No,2000,18,63429.437
1000,None,4_16,NC12,No,100,18,60444.3154
500,Face,8_32,NC12 Promo,No,0,12,29336.0808
100,Text Analytics,64_256,NV12s v3,Yes,500,3,12281.8695
100,Face,16_64,NV12,Yes,500,18,14709.9878
500,Speech Services,8_32,None,No,0,12,28740.1108
250,Text Analytics,32_128,None,Yes,2000,3,17232.3149
250,Text Analytics,4_16,NV12s v3,Yes,2000,3,15390.5709
1000,Immersive Reader,16_64,NV12s v3,Yes,500,18,65401.0878
250,Text Analytics,16_64,NC12,Yes,1000,6,18140.1626
100,Speech Services,4_16,NC12 Promo,Yes,2000,12,6400.7504
750,Text Analytics,8_32,NC12,Yes,500,18,47991.3008
250,Text Analytics,16_64,NV12s v3,Yes,2000,18,22476.0678
50,None,64_256,NV12,Yes,500,3,10248.8295
100,None,4_16,NV12,No,100,18,9158.1154
100,None,64_256,NV12,No,100,6,18902.509
250,Speech Services,8_32,None,Yes,2000,36,14410.8258
750,Speaker,8_32,NV12s v3,No,5000,3,44339.1818
500,Face,64_256,None,No,500,6,40229.699
1000,Face,4_16,NC12,Yes,1000,6,59225.1418
250,Speaker,4_16,NC12,No,100,18,17528.8054
1000,None,32_128,NC12,No,1000,18,75998.3094
100,Speech Services,4_16,NC12 Promo,No,5000,3,6655.0809
500,Face,4_16,NV12,No,0,12,30260.3904
100,Face,4_16,NV12s v3,No,500,3,6795.5509
100,Text Analytics,64_256,NC12 Promo,No,5000,18,41132.607
50,Speaker,32_128,NV12,No,5000,18,21876.3394
250,Text Analytics,4_16,None,Yes,5000,18,16190.3854
250,Text Analytics,16_64,None,Yes,5000,12,14579.8616
50,Text Analytics,32_128,NV12,Yes,1000,12,5036.9087
250,Text Analytics,32_128,None,No,5000,6,20137.1098
500,None,4_16,NC12 Promo,Yes,0,12,29273.1004
1000,Speech Services,32_128,NV12,No,0,6,64614.9398
100,Speech Services,4_16,NV12,Yes,2000,6,7942.0418
1000,Speaker,8_32,NV12,No,2000,3,59472.0918
500,Speaker,8_32,NV12,No,0,12,30331.9408
250,Speaker,4_16,NV12,No,5000,12,15991.3904
50,Speaker,16_64,NC12,Yes,2000,6,6712.4726
50,Speaker,8_32,None,No,100,12,3002.1808
250,Immersive Reader,32_128,None,No,1000,18,31727.6694
750,Immersive Reader,16_64,NV12,Yes,500,3,45758.4413
500,Speaker,4_16,NV12,Yes,0,6,30828.6818
250,Speaker,8_32,None,No,500,18,18037.7408
500,None,8_32,NV12s v3,Yes,100,18,33076.0208
250,None,32_128,NV12,Yes,500,12,16478.8887
50,Immersive Reader,8_32,NC12 Promo,No,5000,18,7193.6408
50,Speech Services,8_32,NV12s v3,Yes,500,3,4239.2018
250,Speech Services,32_128,NV12s v3,No,5000,18,32481.0494
250,Speech Services,8_32,NC12 Promo,Yes,2000,18,18628.4808
1000,Immersive Reader,16_64,NV12s v3,No,1000,6,60477.7226
50,Speaker,4_16,NC12 Promo,Yes,2000,6,4109.9218
100,None,16_64,NV12,Yes,100,6,9771.8326
1000,Face,32_128,NC12,Yes,0,18,75983.5794
1000,Speaker,32_128,NC12,No,2000,18,76018.5594
50,None,16_64,NV12,Yes,2000,3,5695.4113
750,None,8_32,NC12 Promo,No,0,12,43643.1508
50,Text Analytics,64_256,NV12,No,2000,3,10260.7495
50,None,64_256,NV12,Yes,5000,12,5628.5521
500,Immersive Reader,4_16,NV12,No,2000,18,32079.0454
1000,Text Analytics,16_64,NV12,No,0,3,60049.6013
50,Speech Services,16_64,None,No,100,6,5332.3126
750,Face,4_16,NC12 Promo,Yes,0,6,44142.7518
750,Text Analytics,32_128,NV12s v3,Yes,1000,3,46594.8249
750,Immersive Reader,4_16,None,No,100,3,43251.0909
1000,Speaker,64_256,NV12,Yes,1000,3,64646.8195
1000,Text Analytics,64_256,NV12s v3,No,500,3,63797.6295
250,Speech Services,16_64,NV12,Yes,5000,12,16157.4016
750,Face,4_16,NC12 Promo,No,1000,12,43603.4804
750,Speech Services,64_256,NC12,No,2000,18,79087.347
100,Text Analytics,64_256,NC12,Yes,100,18,41863.627
50,Face,16_64,None,Yes,1000,18,10276.4278
100,Speech Services,8_32,NC12 Promo,No,500,6,7562.6736
250,Immersive Reader,16_64,NC12 Promo,Yes,500,18,22315.7978
50,Text Analytics,32_128,NC12,Yes,1000,12,4807.3487
1000,Immersive Reader,16_64,None,No,100,12,57492.9516
750,None,8_32,NV12,No,500,6,45752.9336
500,None,16_64,NC12 Promo,Yes,100,3,30450.9713
50,None,64_256,None,Yes,2000,6,14480.879
250,Immersive Reader,16_64,NV12,No,1000,6,18376.8626
750,Speaker,32_128,NV12s v3,Yes,0,6,49490.3598
50,Speaker,32_128,NC12,Yes,0,3,7123.0949
750,Immersive Reader,32_128,NC12 Promo,No,1000,12,44127.4287
100,Immersive Reader,8_32,NC12 Promo,No,5000,18,10055.6208
1000,Text Analytics,32_128,NC12 Promo,Yes,500,3,60743.3049
1000,Text Analytics,8_32,NV12s v3,Yes,0,3,58605.3118
500,Immersive Reader,32_128,NV12s v3,Yes,1000,12,29972.9887
100,Text Analytics,8_32,NV12,Yes,100,12,7427.4108
500,None,16_64,NV12,No,500,6,32673.7026
750,Speaker,8_32,NC12 Promo,No,0,6,44771.1636
250,Speaker,4_16,NV12,No,500,12,15973.5104
1000,Speech Services,32_128,NV12,Yes,2000,18,76233.8294
750,Speech Services,8_32,NC12 Promo,No,2000,6,44780.4236
250,Speaker,4_16,NC12,Yes,0,18,17523.1454
1000,Speaker,32_128,None,No,2000,18,74670.5794
100,Immersive Reader,32_128,NV12s v3,No,500,6,12289.0098
50,Speaker,4_16,None,No,1000,18,4744.8154
1000,Immersive Reader,4_16,NV12s v3,Yes,2000,12,58079.1404
100,None,4_16,NC12,Yes,100,3,7386.1009
500,Text Analytics,16_64,NV12s v3,No,2000,12,29632.4416
500,Speaker,16_64,NV12s v3,No,2000,12,29646.7316
100,Speaker,4_16,NC12,No,500,12,7157.9904
1000,Face,32_128,None,Yes,100,36,57634.7559
250,Speaker,64_256,NV12,No,0,6,27497.099
750,Speaker,16_64,None,Yes,2000,12,43208.0616
100,Text Analytics,64_256,NC12 Promo,No,100,3,12120.4095
250,Text Analytics,4_16,NC12 Promo,Yes,5000,12,14992.6704
750,Speaker,8_32,None,No,1000,18,46663.5708
1000,Immersive Reader,16_64,None,No,1000,3,58496.7913
100,Immersive Reader,32_128,NC12 Promo,No,2000,6,12145.4398
250,Text Analytics,16_64,None,No,5000,6,16804.1026
50,Immersive Reader,16_64,NV12s v3,Yes,1000,3,4867.6513
100,Face,16_64,NV12s v3,Yes,500,3,7719.3913
500,Text Analytics,64_256,NC12,No,100,6,41568.849
250,None,8_32,NC12 Promo,No,1000,12,15040.8708
50,Face,64_256,None,Yes,5000,3,8692.0295
1000,Face,4_16,NC12,Yes,5000,3,58928.5709
250,Immersive Reader,4_16,NC12,No,500,18,17527.6254
750,Immersive Reader,4_16,NV12,No,5000,6,45160.9718
50,Immersive Reader,32_128,None,Yes,100,24,26065.4692
750,Speech Services,16_64,NC12,Yes,1000,18,51689.3578
500,Speaker,16_64,NC12,Yes,2000,18,37399.6778
250,Text Analytics,16_64,NV12s v3,Yes,2000,6,17546.7426
50,Text Analytics,8_32,NC12 Promo,Yes,100,12,3581.0008
250,Face,64_256,None,Yes,100,12,15477.9621
500,Immersive Reader,8_32,NV12s v3,No,100,12,29501.5108
50,None,8_32,NV12,Yes,500,6,5685.1236
1000,Immersive Reader,64_256,NV12,No,100,18,93616.087
50,None,64_256,NV12s v3,No,1000,12,4787.6921
250,Text Analytics,4_16,NC12,Yes,5000,3,15995.9109
100,Speech Services,64_256,NV12,No,500,6,18908.479
500,None,64_256,NV12,No,1000,12,31374.5121
250,Face,4_16,NV12,Yes,500,18,17752.9054
500,None,16_64,NV12,Yes,0,18,37591.3978
100,Immersive Reader,32_128,NV12,Yes,100,3,10213.1449
1000,Speaker,64_256,NC12,No,5000,12,59791.0221
50,Immersive Reader,16_64,NC12,Yes,100,12,4463.1916
1000,None,16_64,NV12s v3,Yes,5000,6,60482.5026
50,Immersive Reader,64_256,NV12,Yes,2000,6,16065.559
500,Speech Services,32_128,NV12,Yes,500,3,33107.8749
100,Text Analytics,4_16,NC12 Promo,No,0,6,6934.0618
100,Speech Services,16_64,NV12,No,0,3,8533.8413
250,Face,4_16,NC12,Yes,1000,18,17529.3054
50,Text Analytics,32_128,NC12,No,5000,18,21632.4894
250,Speaker,16_64,NV12s v3,Yes,100,6,17543.1426
100,Immersive Reader,16_64,NC12 Promo,Yes,0,18,13718.2078
50,Speaker,16_64,NC12,Yes,0,6,6688.9226
250,Immersive Reader,32_128,NV12s v3,No,500,12,15657.0887
100,Immersive Reader,16_64,NC12 Promo,No,0,18,13718.2078
100,None,32_128,NC12 Promo,Yes,100,6,12120.4098
250,Speech Services,16_64,NC12 Promo,No,1000,12,15161.0516
1000,Speaker,64_256,NC12,Yes,100,3,64405.3295
50,None,16_64,NC12 Promo,No,1000,3,4705.0213
500,Speech Services,8_32,None,Yes,0,18,32321.7608
500,Speech Services,16_64,NV12s v3,Yes,500,12,29620.5216
750,Speech Services,64_256,None,No,5000,6,54554.649
500,None,4_16,NV12s v3,No,0,3,29676.9609
500,Speaker,32_128,None,Yes,500,36,29032.2959
1000,Immersive Reader,32_128,NC12 Promo,Yes,2000,18,75256.5394
250,None,8_32,None,Yes,100,6,15549.5536
100,Speech Services,16_64,NC12 Promo,Yes,100,3,7555.0713
750,None,64_256,NC12,No,0,6,55873.119
1000,Text Analytics,4_16,NC12,Yes,100,6,59210.3518
250,None,8_32,NC12,No,100,6,16897.5336
250,Speaker,64_256,NC12,No,500,12,16843.3421
250,Text Analytics,64_256,NV12s v3,Yes,2000,6,26677.419
1000,Face,4_16,NC12,Yes,100,6,59213.2118
750,None,4_16,NC12 Promo,Yes,0,3,43831.4009
50,Speech Services,16_64,NC12,No,5000,6,6704.1426
50,Text Analytics,64_256,None,No,100,36,3640.6781
750,Speech Services,32_128,None,Yes,2000,3,45852.1849
500,Speech Services,8_32,NC12,No,5000,3,30614.3418
500,Text Analytics,64_256,None,Yes,2000,24,75024.776
500,Immersive Reader,4_16,None,Yes,2000,36,28689.2329
750,None,32_128,NV12s v3,Yes,100,3,46582.8949
1000,Text Analytics,8_32,NC12,Yes,5000,12,58737.4608
